oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
1079229I04123,1079229P26dccf436baa282c25c8e0e5e73ffb1c,1079229,I04123,36228069974829186983,125245330477008817,186445330477008817,272000,,VM Exception while processing transaction: revert Not profitable,
1079250I03783,1079250P99609322fc9b60657b002a730d4d7d0d,1079250,I03783,35103173954205860411,92720408717385923,153920408717385923,272000,,VM Exception while processing transaction: revert Not profitable,
1079287I03783,1079287P5fc9d2808330416f48196e6b19aae22d,1079287,I03783,30360882499278425638,53863478592392770,115063478592392770,272000,,VM Exception while processing transaction: revert Not profitable,
1079287I03783,1079287P5fc9d2808330416f48196e6b19aae22d,1079287,I03783,30360882499278425638,53863478592392770,115063478592392770,272000,0x3bc1a166abab1271dd757f8ad1ed2b9418e9c9da20f168d8ab7b57060699361c,,0
1079353I04194,1079353P47f1f7f6232906996cfd34445972afd0,1079353,I04194,19225557910890548230,81823371885637782,170023371885637782,392000,,VM Exception while processing transaction: revert Not profitable,
1079369I01401,1079369P29e750dd7e0b69b73179c5626583b406,1079369,I01401,7584924363588392695,133177473015509111,194377473015509111,272000,,VM Exception while processing transaction: revert Not profitable,
1079369I01401,1079369P29e750dd7e0b69b73179c5626583b406,1079369,I01401,7584924363588392695,133177473015509111,194377473015509111,272000,,Tx submission timeout reached,
1079399I03536,1079399P3ee5f657e78aaeab550281c6d5f6c04d,1079399,I03536,8500166910621075238,90431909545030965,178631909545030965,392000,,VM Exception while processing transaction: revert Not profitable,
1079399I03536,1079399P3ee5f657e78aaeab550281c6d5f6c04d,1079399,I03536,8500166910621075238,90431909545030965,178631909545030965,392000,0x2a514edce6f0021aa8fc9ed6469069fd7c770b4e45ca219bd214772f10a873ed,,0
1079463I00622,1079463P26dccf436baa282c25c8e0e5e73ffb1c,1079463,I00622,30411191955503864945,52883701471769526,114083701471769526,272000,,VM Exception while processing transaction: revert Not profitable,
1079467I00466,1079467P00fdf52582ebc20e564c6606e7c69d93,1079467,I00466,105037320019686836206,150064068284964555,238264068284964555,392000,,VM Exception while processing transaction: revert Not profitable,
1079467I00466,1079467P00fdf52582ebc20e564c6606e7c69d93,1079467,I00466,105037320019686836206,150064068284964555,238264068284964555,392000,0x0eb8d83d51edb96d2f1bf45aac20d982a7f3924b86a4daa6269ef551de5071f5,,0
1079563I03631,1079563P7427fe8b2ace7c8b23f044deb3ac75ea,1079563,I03631,55056090779052918945,595326478701598603,683526478701598603,392000,,VM Exception while processing transaction: revert Not profitable,
