hostname,wallet,botBalance,blockNumber,timestamp,instrId,pathAmounts,grossProfit,netProfit,txHash
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123000,1613261037820,I0015,"9660847854891231238
245106870283693215
223608930921778655
9772121160671848914",111273305780617676,2233305780617676,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123058,1613261440452,I0002,"719986436402050363
236784177832959694297
21284733735105739
829440258506691080",109453822104640717,413822104640717,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123059,1613261441465,I0015,"59423155019095783074
1753158435966579727
1469314405954428751
64265483523363996032",4842328504268212958,4733288504268212958,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123167,1613261938850,I0016,"36483025865304727714
829461603074981709
1015650010225992413
38159210715509047460",1676184850204319746,1567144850204319746,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123169,1613261945773,I0016,"36483025865304727714
829461603074981709
1015650010225992413
38159210715509047460",1676184850204319746,1567144850204319746,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123200,1613262008614,I0015,"14723325795612207720
411917735134589498
342894756656091579
14996230524074050348",272904728461842628,163864728461842628,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123452,1613263932565,I0016,"13342831800192584582
301254594880884694
360514526974129248
13560523627278373464",217691827085788882,108651827085788882,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123501,1613264344197,I0018,"25573599515819640066
1213724932330229571034
1144154123217965362257
27101696972676337789",1528097456856697723,1419057456856697723,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123502,1613264346292,I0018,"25573599515819640066
1213724932330229571034
1144154123217965362257
27101696972676337789",1528097456856697723,1419057456856697723,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123504,1613264379440,I0018,"25573599515819640066
1213724932330229571034
1144154123217965362257
27101696972676337789",1528097456856697723,1419057456856697723,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123505,1613264379743,I0018,"25573599515819640066
1213724932330229571034
1144154123217965362257
27101696972676337789",1528097456856697723,1419057456856697723,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123518,1613264530856,I0015,"70301756091087588387
1859476446035630197
1747120140483505522
76791576808300975197",6489820717213386810,6380780717213386810,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123521,1613264531796,I0018,"25574332134973231281
1213759646931967864208
1144185064967444485244
27102473367969645070",1528141232996413789,1419101232996413789,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123522,1613264539141,I0018,"25574332134973231281
1213759646931967864208
1144185064967444485244
27102473367969645070",1528141232996413789,1419101232996413789,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123523,1613264540203,I0018,"25574332134973231281
1213759646931967864208
1144185064967444485244
27102473367969645070",1528141232996413789,1419101232996413789,
avalanche-singapore,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,10000000000000000000000,123524,1613264567200,I0018,"25574332134973231281
1213759646931967864208
1144185064967444485244
27102473367969645070",1528141232996413789,1419101232996413789,
